name;category_id;description;price;stock;rating;image
Ayam Goreng Crispy;1;Ayam Goreng Crispy adalah pilihan sempurna bagi pecinta cita rasa klasik yang renyah dan gurih. Potongan ayam segar dibumbui dengan racikan rempah khas, kemudian dilapisi tepung berbumbu dan digoreng hingga keemasan. Bagian luar ayam terasa renyah menggigit, sementara daging di dalamnya tetap lembut dan juicy. Disajikan bersama nasi hangat serta sambal pedas yang menggoda, menu ini memberikan pengalaman makan yang sederhana namun memuaskan di setiap gigitan.;20000;10;;ayam-goreng-crispy.jpg
Ayam Bakar Madu;1;Ayam Bakar Madu menghadirkan perpaduan rasa manis, gurih, dan sedikit aroma smoky yang khas. Daging ayam dibumbui dengan rempah pilihan dan dilumuri madu murni sebelum dibakar perlahan di atas bara api. Proses pembakaran yang tepat menghasilkan lapisan karamel alami di permukaan ayam yang menambah kelezatan. Rasa manis madu yang berpadu dengan gurihnya daging menciptakan harmoni rasa yang pas di lidah, cocok disantap dengan nasi hangat dan lalapan segar.;22000;10;;ayam-bakar-madu.jpg
Ayam Geprek Sambal Bawang;1;Kelezatan Ayam Geprek Sambal Bawang berasal dari kesederhanaannya. Ayam goreng tepung yang renyah digeprek hingga pipih lalu disiram sambal bawang pedas yang dibuat dari cabai, bawang putih, dan minyak panas. Aroma bawang yang harum berpadu dengan rasa pedas yang membakar lidah, menciptakan sensasi khas yang bikin nagih. Setiap suapan menghadirkan kombinasi antara kriuk ayam goreng dan pedasnya sambal yang menggugah selera makan.;18000;10;;ayam-geprek.jpg
Ayam Penyet;1;Ayam Penyet adalah hidangan khas Jawa yang memadukan kelembutan ayam goreng berbumbu dengan sambal pedas tomat segar. Daging ayamnya digoreng hingga keemasan lalu dipenyet di atas cobek bersama sambal yang baru diulek. Rasa gurih ayam berpadu dengan aroma cabai dan bawang yang kuat, memberikan kehangatan di lidah. Disajikan bersama nasi putih dan lalapan segar, menu ini memberikan cita rasa tradisional yang autentik dan penuh kenangan.;19000;10;;ayam-penyet.jpg
Ayam Pop (Padang);1;Ayam Pop merupakan salah satu hidangan legendaris dari ranah Minangkabau. Ayam dimasak dengan cara direbus dalam santan dan rempah ringan, kemudian digoreng sebentar hingga berwarna keemasan pucat. Teksturnya lembut, gurih, dan memiliki rasa khas yang tidak terlalu berat. Disajikan dengan sambal lado ijo yang pedas segar serta nasi putih hangat, Ayam Pop memberikan cita rasa lembut yang menenangkan namun tetap kaya rempah.;25000;10;;ayam-pop.jpg
Ayam Kremes;1;Ayam Kremes terkenal dengan teksturnya yang unik: renyah di luar, lembut di dalam, dan dilengkapi dengan taburan kremesan gurih yang menggoda. Ayam dibumbui dengan rempah tradisional lalu digoreng hingga matang sempurna. Kremesnya yang renyah memberikan sensasi tambahan di setiap suapan. Disajikan bersama sambal terasi pedas dan lalapan segar, Ayam Kremes menjadi pilihan favorit keluarga yang tak pernah gagal menggugah selera.;25000;10;;ayam-kremes.jpg
Ayam Rica-Rica;1;Ayam Rica-Rica merupakan hidangan khas Manado yang terkenal karena kepedasannya yang menggigit dan aroma rempahnya yang kuat. Potongan ayam dimasak bersama bumbu rica yang terdiri dari cabai merah, bawang, serai, dan daun jeruk, menghasilkan rasa pedas menyengat namun tetap seimbang. Bagi penggemar makanan pedas, Ayam Rica-Rica ini akan memberikan sensasi panas yang nikmat dan menggugah nafsu makan hingga suapan terakhir.;20000;10;;ayam-ricarica.jpg
Ayam Teriyaki;1;Ayam Teriyaki mengusung cita rasa Jepang yang lembut dan elegan. Potongan daging ayam fillet dimasak dengan saus teriyaki buatan sendiri yang terbuat dari kecap asin, madu, dan jahe, menghasilkan rasa manis gurih yang khas. Daging ayam yang empuk berpadu dengan saus kental yang melapisi permukaannya, menciptakan sensasi rasa yang seimbang. Cocok disajikan bersama nasi hangat atau sayuran tumis untuk hidangan bergaya oriental.;20000;10;;ayam-teriyaki.jpg
Ayam Kungpao;1;Ayam Kungpao adalah hidangan klasik dari Tiongkok yang terkenal dengan cita rasa pedas manis dan aroma kacang mede yang khas. Potongan ayam dimasak dengan saus kecap oriental, cuka, dan cabai kering, menghasilkan rasa gurih dengan sentuhan pedas yang nikmat. Tambahan paprika dan kacang mede menambah tekstur yang kaya dan menggoda. Setiap suapan menghadirkan keseimbangan rasa yang sempurna antara pedas, gurih, dan sedikit manis.;25000;10;;ayam-kungpao.jpg
Ayam Taliwang;1;Ayam Taliwang berasal dari Lombok dan dikenal dengan bumbu pedasnya yang kuat serta aroma bakaran yang menggoda. Ayam muda dibumbui dengan cabai, bawang, terasi, dan rempah khas, kemudian dibakar hingga bumbunya meresap sempurna. Hasilnya adalah daging ayam yang lembut dengan rasa pedas menggigit yang khas. Menu ini menjadi pilihan sempurna bagi pecinta kuliner Nusantara yang menyukai sensasi pedas dan rempah autentik.;25000;10;;ayam-taliwang.jpg
Ayam Betutu Bali;1;Ayam Betutu adalah hidangan tradisional Bali yang terkenal kaya rempah. Ayam utuh dilumuri bumbu base genep, lalu dibungkus daun pisang dan dimasak perlahan hingga empuk. Proses pemasakan yang lama membuat bumbu meresap hingga ke serat daging. Rasa gurih, pedas, dan harum berpadu menjadi satu. Ayam Betutu menjadi simbol cita rasa Bali yang kompleks dan menggugah selera, cocok disantap bersama nasi hangat dan sambal matah.;25000;10;;ayam-betutu-bali.jpg
Ayam Katsu;1;Ayam Katsu menghadirkan kelezatan khas Jepang dengan tekstur renyah dan rasa gurih yang lembut. Daging ayam fillet dibalut tepung roti panko, lalu digoreng hingga berwarna keemasan. Lapisan luarnya garing sempurna, sementara bagian dalamnya tetap lembut. Disajikan dengan saus katsu yang manis gurih serta nasi putih hangat, menu ini cocok untuk segala usia dan menjadi favorit di berbagai restoran Jepang.;25000;10;;ayam-katsu.jpg
Ayam Hainan;1;Ayam Hainan berasal dari Tiongkok Selatan dan dikenal dengan cita rasa yang lembut dan menenangkan. Daging ayam direbus perlahan hingga empuk, lalu disajikan bersama nasi gurih yang dimasak dengan kaldu ayam dan minyak wijen. Saus jahe bawang dan kecap asin menjadi pelengkap sempurna. Hidangan ini tidak terlalu berbumbu, tetapi menawarkan kesegaran alami dari bahan-bahan berkualitas tinggi.;25000;10;;ayam-hainan.jpg
Ayam Sambal Matah;1;Ayam Sambal Matah menghadirkan perpaduan antara gurihnya ayam goreng dan segarnya sambal khas Bali. Sambal matah terbuat dari bawang merah, cabai rawit, serai, dan daun jeruk yang diiris tipis lalu disiram minyak panas. Aroma khas serai dan bawang merah menyebar harum, menciptakan cita rasa pedas segar yang tidak berlebihan. Menu ini cocok untuk kamu yang menyukai hidangan pedas tapi ringan di mulut.;25000;10;;ayam-sambal-matah.jpg
Ayam Saus Mentega;1;Ayam Saus Mentega adalah hidangan bergaya oriental yang menggoda dengan aroma mentega dan kecap manis. Potongan ayam digoreng sebentar lalu ditumis bersama saus mentega, bawang bombai, dan sedikit saus tiram. Rasa gurih, manis, dan sedikit smoky berpadu sempurna. Sausnya yang kental dan harum menempel sempurna di daging ayam, membuat menu ini terasa mewah namun tetap bersahabat dengan lidah lokal.;20000;10;;ayam-saus-mentega.jpg
Ayam Lada Hitam;1;Ayam Lada Hitam menawarkan cita rasa gurih dan pedas hangat khas masakan oriental. Daging ayam dimasak dengan saus lada hitam pekat yang dibuat dari campuran kecap asin, bawang bombai, dan lada hitam segar. Aroma pedas lada berpadu dengan rasa gurih saus yang meresap hingga ke dalam daging. Cocok untuk disantap dengan nasi hangat, menghadirkan pengalaman makan yang kuat namun tetap seimbang.;20000;10;;ayam-lada-hitam.jpg
Ayam Asam Manis;1;Hidangan ini menghadirkan kombinasi rasa manis, asam, dan gurih dalam satu sajian. Potongan ayam goreng tepung yang renyah disiram dengan saus asam manis yang dibuat dari tomat, nanas, dan paprika segar. Setiap gigitan memberikan sensasi segar dan lembut yang memanjakan lidah. Cocok untuk kamu yang menyukai hidangan berwarna cerah dengan rasa yang seimbang dan menyegarkan.;20000;10;;ayam-asam-manis.jpg
Ayam Barbeque;1;Ayam Barbeque menggabungkan cita rasa barat dengan kelezatan lokal. Daging ayam dibumbui saus barbeque buatan sendiri, lalu dipanggang perlahan hingga menghasilkan aroma smoky yang menggoda. Rasa gurih manis sausnya berpadu dengan tekstur ayam yang empuk dan juicy.;20000;10;;ayam-barbeque.jpg
Ayam Kari India;1;Ayam Kari India menghadirkan kekayaan rempah yang intens dengan aroma eksotis. Potongan ayam dimasak dalam saus kari kental berbasis santan dan rempah seperti jintan, kayu manis, kapulaga, serta kunyit. Rasa pedas hangatnya lembut namun mendalam, membuat tubuh terasa nyaman. Menu ini cocok bagi penikmat makanan beraroma kuat yang ingin menjelajahi rasa khas India dalam versi lokal yang bersahabat di lidah.;25000;10;;ayam-kari-india.jpg
Ayam Goreng Kalasan;1;Ayam Goreng Kalasan adalah ikon kuliner khas Yogyakarta yang menawarkan cita rasa manis gurih nan lembut. Ayam dimasak dengan santan dan air kelapa muda hingga empuk, lalu digoreng perlahan hingga berwarna cokelat keemasan. Rasa gurih manisnya terasa khas dan tidak mudah dilupakan. Disajikan bersama sambal tomat dan lalapan segar, Ayam Goreng Kalasan membawa suasana makan rumahan yang hangat dan penuh nostalgia.;20000;10;;ayam-goreng-kalasan.jpg
